#Tully-Fisher relation data from 2000ApJ...529..698S Table 2, columns exactly as in that Table.
NGC224|-21.58|0.19| | |-22.59|0.18|-23.11|0.18|-23.83|0.11|2.744|0.028|2.703|0.030|78|2|78|2
NGC598|-18.67|0.18| | |-19.45|0.18|-19.84|0.18|-20.31|0.11|2.397|0.074|2.357|0.082|54|2|54|2
NGC925|-19.79|0.29|-20.10|0.16|-20.35|0.16|-20.67|0.28|-21.16|0.10|2.420|0.049|2.384|0.052|56|1|56|2
NGC1365|-21.91|0.37|-22.34|0.12|-22.74|0.17|-23.40|0.12|-24.30|0.11|2.682|0.035|2.626|0.032|62|3|55|2
NGC1425|-20.99|0.17|-21.44|0.08|-21.84|0.07|-22.39|0.08|-23.07|0.08|2.621|0.041|2.599|0.043|64|1|63|1
NGC2090|-19.93|0.11|-20.27|0.10|-20.73|0.10|-21.30|0.11|-21.95|0.10|2.501|0.035|2.493|0.038|64|1|67|2
NGC2403|-19.27|0.29| | |-20.02|0.28|-20.38|0.28|-21.14|0.25|2.480|0.059|2.457|0.06258|2|58|2
NGC2541|-18.85|0.18|-19.19|0.13|-19.44|0.10|-19.87|0.13|-20.24|0.10|2.370|0.049|2.361|0.052|58|2|62|1
NGC3031|-20.84|0.17| | |-21.99|0.17|-22.50|0.17|-23.54|0.10|2.719|0.034|2.654|0.039|58|2|58|2
NGC3198|-20.32|0.08|-20.78|0.08|-21.08|0.07|-21.56|0.08|-22.22|0.08|2.531|0.032|2.506|0.034|71|2|68|2
NGC3319|-19.38|0.14|-19.72|0.14|-19.96|0.13|-20.33|0.14|-20.44|0.13|2.405|0.048|2.364|0.051|60|1|58|1
NGC3351|-19.85|0.11|-20.61|0.09|-21.04|0.09|-21.64|0.09|-22.56|0.10|2.586|0.047|2.577|0.042|45|2|45|2
NGC3368|-20.54|0.14|-21.31|0.12|-21.76|0.11|-22.31|0.11|-23.41|0.11|2.674|0.036|2.631|0.034|51|1|49|1
NGC3621|-19.68|0.12|-20.16|0.12|-20.62|0.12|-21.06|0.12|-21.84|0.12|2.499|0.035|2.471|0.038|64|1|66|1
NGC3627|-21.18|0.18|-21.79|0.18|-22.17|0.18|-22.66|0.18|-23.50|0.18|2.626|0.026|2.694|0.035|65|1|65|1
NGC4414|-20.93|0.13|-21.60|0.11|-22.01|0.11|-22.61|0.11|-23.65|0.11|2.743|0.039|2.562|0.039|46|2|46|2
NGC4535|-20.85|0.10|-21.42|0.09|-21.64|0.08|-22.28|0.08|-22.72|0.09|2.586|0.038|2.538|0.032|49|1|51|1
NGC4536|-20.49|0.12|-21.05|0.10|-21.39|0.09|-21.95|0.13|-22.79|0.09|2.562|0.030|2.695|0.031|68|1|69|1
NGC4548|-20.46|0.24|-21.11|0.23|-21.52|0.23|-22.17|0.23| | |2.617|0.046|2.729|0.025|38|1|39|1
NGC4725|-21.36|0.10|-21.91|0.09|-22.25|0.09|-22.77|0.09|-23.65|0.10|2.671|0.026|2.564|0.030|51|1|62|1
NGC7331|-21.81|0.12|-22.48|0.11|-22.87|0.11|-23.38|0.11|-24.66|0.11|2.746|0.021|2.576|0.045|68|2|69|2
